Code,Date,Fy,Indicator,Units,Values,SubBasinOrSubZone,Supplier,Region,Environment,BasinOrZone,WatercourseOrGeographicArea,SubBasinArea,SubBasinProportionOfBasin,Lat,Long,Wqo,Lor,Sf,Failure,Stat
P.Lake,2023-07-18T00:00:01Z,2024,DIN,mg.L,0.034999999999999996,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2023-08-03T00:00:01Z,2024,DIN,mg.L,0.03,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2023-09-14T00:00:01Z,2024,DIN,mg.L,0.04,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2023-10-12T00:00:01Z,2024,DIN,mg.L,0.060000000000000005,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2023-11-03T00:00:01Z,2024,DIN,mg.L,0.06999999999999999,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2023-11-29T00:00:01Z,2024,DIN,mg.L,0.1,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2024-01-24T00:00:01Z,2024,DIN,mg.L,0.08,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2024-02-22T00:00:01Z,2024,DIN,mg.L,0.02,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2024-03-27T00:00:01Z,2024,DIN,mg.L,0.015,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2024-05-01T00:00:01Z,2024,DIN,mg.L,0.015,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2024-05-30T00:00:01Z,2024,DIN,mg.L,0.015,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2024-06-21T00:00:01Z,2024,DIN,mg.L,0.015,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
RLS1,2023-08-07T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.451,146.778,0.02,0.02,0.38,high,median
RLS1,2023-09-15T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.451,146.778,0.02,0.02,0.38,high,median
RLS1,2023-10-09T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.451,146.778,0.02,0.02,0.38,high,median
RLS1,2023-11-17T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.451,146.778,0.02,0.02,0.38,high,median
RLS1,2023-12-04T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.451,146.778,0.02,0.02,0.38,high,median
RLS1,2024-01-02T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.451,146.778,0.02,0.02,0.38,high,median
RLS1,2024-01-29T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.451,146.778,0.02,0.02,0.38,high,median
RLS1,2024-03-15T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.451,146.778,0.02,0.02,0.38,high,median
RLS1,2024-04-08T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.451,146.778,0.02,0.02,0.38,high,median
RLS1,2024-05-14T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.451,146.778,0.02,0.02,0.38,high,median
RLS1,2024-06-10T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.451,146.778,0.02,0.02,0.38,high,median
RLS2,2023-08-07T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.447,146.778,0.02,0.02,0.38,high,median
RLS2,2023-09-15T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.447,146.778,0.02,0.02,0.38,high,median
RLS2,2023-10-09T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.447,146.778,0.02,0.02,0.38,high,median
RLS2,2023-11-17T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.447,146.778,0.02,0.02,0.38,high,median
RLS2,2023-12-04T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.447,146.778,0.02,0.02,0.38,high,median
RLS2,2024-01-02T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.447,146.778,0.02,0.02,0.38,high,median
RLS2,2024-01-29T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.447,146.778,0.02,0.02,0.38,high,median
RLS2,2024-03-15T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.447,146.778,0.02,0.02,0.38,high,median
RLS2,2024-04-08T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.447,146.778,0.02,0.02,0.38,high,median
RLS2,2024-05-14T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.447,146.778,0.02,0.02,0.38,high,median
RLS2,2024-06-10T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.447,146.778,0.02,0.02,0.38,high,median
RLS3,2023-08-07T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.443,146.766,0.02,0.02,0.38,high,median
RLS3,2023-09-15T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.443,146.766,0.02,0.02,0.38,high,median
RLS3,2023-10-09T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.443,146.766,0.02,0.02,0.38,high,median
RLS3,2023-11-17T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.443,146.766,0.02,0.02,0.38,high,median
RLS3,2023-12-04T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.443,146.766,0.02,0.02,0.38,high,median
RLS3,2024-01-02T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.443,146.766,0.02,0.02,0.38,high,median
RLS3,2024-01-29T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.443,146.766,0.02,0.02,0.38,high,median
RLS3,2024-03-15T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.443,146.766,0.02,0.02,0.38,high,median
RLS3,2024-04-08T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.443,146.766,0.02,0.02,0.38,high,median
RLS3,2024-05-14T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.443,146.766,0.02,0.02,0.38,high,median
RLS3,2024-06-10T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.443,146.766,0.02,0.02,0.38,high,median
RLS4,2023-08-07T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.438,146.761,0.02,0.02,0.38,high,median
RLS4,2023-09-15T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.438,146.761,0.02,0.02,0.38,high,median
RLS4,2023-10-09T00:00:01Z,2024,DIN,mg.L,0.03,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.438,146.761,0.02,0.02,0.38,high,median
RLS4,2023-11-17T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.438,146.761,0.02,0.02,0.38,high,median
RLS4,2023-12-04T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.438,146.761,0.02,0.02,0.38,high,median
RLS4,2024-01-02T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.438,146.761,0.02,0.02,0.38,high,median
RLS4,2024-01-29T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.438,146.761,0.02,0.02,0.38,high,median
RLS4,2024-03-15T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.438,146.761,0.02,0.02,0.38,high,median
RLS4,2024-04-08T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.438,146.761,0.02,0.02,0.38,high,median
RLS4,2024-05-14T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.438,146.761,0.02,0.02,0.38,high,median
RLS4,2024-06-10T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.438,146.761,0.02,0.02,0.38,high,median
RLS5,2023-08-07T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.431,146.754,0.02,0.02,0.38,high,median
RLS5,2023-09-15T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.431,146.754,0.02,0.02,0.38,high,median
RLS5,2023-10-09T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.431,146.754,0.02,0.02,0.38,high,median
RLS5,2023-11-06T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.431,146.754,0.02,0.02,0.38,high,median
RLS5,2023-12-04T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.431,146.754,0.02,0.02,0.38,high,median
RLS5,2024-01-02T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.431,146.754,0.02,0.02,0.38,high,median
RLS5,2024-01-29T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.431,146.754,0.02,0.02,0.38,high,median
RLS5,2024-03-15T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.431,146.754,0.02,0.02,0.38,high,median
RLS5,2024-04-08T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.431,146.754,0.02,0.02,0.38,high,median
RLS5,2024-05-14T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.431,146.754,0.02,0.02,0.38,high,median
RLS5,2024-06-10T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.431,146.754,0.02,0.02,0.38,high,median
RLS6,2023-07-28T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.42,146.744,0.02,0.02,0.38,high,median
RLS6,2023-08-07T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.42,146.744,0.02,0.02,0.38,high,median
RLS6,2023-09-11T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.42,146.744,0.02,0.02,0.38,high,median
RLS6,2023-09-15T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.42,146.744,0.02,0.02,0.38,high,median
RLS6,2023-10-09T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.42,146.744,0.02,0.02,0.38,high,median
RLS6,2023-11-06T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.42,146.744,0.02,0.02,0.38,high,median
RLS6,2023-12-04T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.42,146.744,0.02,0.02,0.38,high,median
RLS6,2024-01-02T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.42,146.744,0.02,0.02,0.38,high,median
RLS6,2024-01-29T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.42,146.744,0.02,0.02,0.38,high,median
RLS6,2024-03-11T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.42,146.744,0.02,0.02,0.38,high,median
RLS6,2024-04-08T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.42,146.744,0.02,0.02,0.38,high,median
RLS6,2024-05-14T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.42,146.744,0.02,0.02,0.38,high,median
RLS6,2024-06-10T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.42,146.744,0.02,0.02,0.38,high,median
RLS7,2023-08-07T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.44,146.738,0.02,0.02,0.38,high,median
RLS7,2023-09-15T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.44,146.738,0.02,0.02,0.38,high,median
RLS7,2023-10-09T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.44,146.738,0.02,0.02,0.38,high,median
RLS7,2023-11-06T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.44,146.738,0.02,0.02,0.38,high,median
RLS7,2023-12-04T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.44,146.738,0.02,0.02,0.38,high,median
RLS7,2024-01-02T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.44,146.738,0.02,0.02,0.38,high,median
RLS7,2024-01-29T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.44,146.738,0.02,0.02,0.38,high,median
RLS7,2024-03-11T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.44,146.738,0.02,0.02,0.38,high,median
RLS7,2024-04-08T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.44,146.738,0.02,0.02,0.38,high,median
RLS7,2024-05-14T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.44,146.738,0.02,0.02,0.38,high,median
RLS7,2024-06-10T00:00:01Z,2024,DIN,mg.L,0.015,Upper Ross River,TCC_Other,DT,Freshwater,Ross,Ross Lake,760.728379132549,0.587564284738997,-19.44,146.738,0.02,0.02,0.38,high,median
